@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,Country,Indicator,Subject,Measure,Frequency
monthly,OECD,DP_LIVE,OECD Data Live dataset,CHN.CCI.AMPLITUD.LTRENDIDX.M,China (People's Republic of) – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,2004-11,2004-11-01,99.1095,99.1095,CHN,CCI,AMPLITUD,LTRENDIDX,M,China (People's Republic of),Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,CHN.CCI.AMPLITUD.LTRENDIDX.M,China (People's Republic of) – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,2004-12,2004-12-01,99.33382,99.33382,CHN,CCI,AMPLITUD,LTRENDIDX,M,China (People's Republic of),Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,CHN.CCI.AMPLITUD.LTRENDIDX.M,China (People's Republic of) – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,2005-01,2005-01-01,99.51187,99.51187,CHN,CCI,AMPLITUD,LTRENDIDX,M,China (People's Republic of),Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,CHN.CCI.AMPLITUD.LTRENDIDX.M,China (People's Republic of) – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,2005-02,2005-02-01,99.66934,99.66934,CHN,CCI,AMPLITUD,LTRENDIDX,M,China (People's Republic of),Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,CHN.CCI.AMPLITUD.LTRENDIDX.M,China (People's Republic of) – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,2005-03,2005-03-01,99.80228,99.80228,CHN,CCI,AMPLITUD,LTRENDIDX,M,China (People's Republic of),Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,CHN.CCI.AMPLITUD.LTRENDIDX.M,China (People's Republic of) – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,2005-04,2005-04-01,99.87464,99.87464,CHN,CCI,AMPLITUD,LTRENDIDX,M,China (People's Republic of),Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,CHN.CCI.AMPLITUD.LTRENDIDX.M,China (People's Republic of) – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,2005-05,2005-05-01,99.87907,99.87907,CHN,CCI,AMPLITUD,LTRENDIDX,M,China (People's Republic of),Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,CHN.CCI.AMPLITUD.LTRENDIDX.M,China (People's Republic of) – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,2005-06,2005-06-01,99.88079,99.88079,CHN,CCI,AMPLITUD,LTRENDIDX,M,China (People's Republic of),Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,CHN.CCI.AMPLITUD.LTRENDIDX.M,China (People's Republic of) – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,2005-07,2005-07-01,99.85816,99.85816,CHN,CCI,AMPLITUD,LTRENDIDX,M,China (People's Republic of),Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,CHN.CCI.AMPLITUD.LTRENDIDX.M,China (People's Republic of) – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,2005-08,2005-08-01,99.81724,99.81724,CHN,CCI,AMPLITUD,LTRENDIDX,M,China (People's Republic of),Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,CHN.CCI.AMPLITUD.LTRENDIDX.M,China (People's Republic of) – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,2005-09,2005-09-01,99.73687,99.73687,CHN,CCI,AMPLITUD,LTRENDIDX,M,China (People's Republic of),Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,CHN.CCI.AMPLITUD.LTRENDIDX.M,China (People's Republic of) – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,2005-10,2005-10-01,99.64839,99.64839,CHN,CCI,AMPLITUD,LTRENDIDX,M,China (People's Republic of),Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,CHN.CCI.AMPLITUD.LTRENDIDX.M,China (People's Republic of) – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,2005-11,2005-11-01,99.6385,99.6385,CHN,CCI,AMPLITUD,LTRENDIDX,M,China (People's Republic of),Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,CHN.CCI.AMPLITUD.LTRENDIDX.M,China (People's Republic of) – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,2005-12,2005-12-01,99.70523,99.70523,CHN,CCI,AMPLITUD,LTRENDIDX,M,China (People's Republic of),Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,CHN.CCI.AMPLITUD.LTRENDIDX.M,China (People's Republic of) – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,2006-01,2006-01-01,99.72913,99.72913,CHN,CCI,AMPLITUD,LTRENDIDX,M,China (People's Republic of),Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,CHN.CCI.AMPLITUD.LTRENDIDX.M,China (People's Republic of) – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,2006-02,2006-02-01,99.67773,99.67773,CHN,CCI,AMPLITUD,LTRENDIDX,M,China (People's Republic of),Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
monthly,OECD,DP_LIVE,OECD Data Live dataset,CHN.CCI.AMPLITUD.LTRENDIDX.M,China (People's Republic of) – Consumer confidence index (CCI) – Amplitude adjusted – Long-term average = 100 – Monthly,2006-03,2006-03-01,99.65916,99.65916,CHN,CCI,AMPLITUD,LTRENDIDX,M,China (People's Republic of),Consumer confidence index (CCI),Amplitude adjusted,Long-term average = 100,Monthly
